Conf.,atom,element,Ref. charge(e),NN charge(e)
5,12,1,0.11877574,0.11615096
5,13,1,0.14279734,0.1488256
6,1,6,0.00707054,0.00910613
6,2,6,0.08220587,0.09278341
6,3,6,0.10493401,0.10289105
6,4,6,0.02357926,0.02591542
6,5,6,0.03043262,0.0253678
6,6,6,0.09885689,0.09694921
6,7,6,0.09481932,0.08650833
6,8,6,0.03663055,0.04469092
6,9,6,0.04048517,0.04552704
6,10,6,0.08809559,0.07621492
6,11,1,0.12667256,0.12507912
6,12,1,0.11941648,0.11919159
6,13,1,0.14680116,0.14977507
7,1,6,-0.00372502,0.00375076
7,2,6,-0.01226211,-0.01133252
7,3,6,-0.01477864,-0.01079628
7,4,6,-0.00856656,-0.00873185
7,5,6,0.00081555,-0.00503559
7,6,6,-0.00703735,-0.00311699
7,7,6,-0.02555648,-0.02665116
7,8,6,-0.03262006,-0.03273585
7,9,6,-0.05338904,-0.0586644
7,10,6,-0.05484752,-0.05404325
7,11,1,0.10489178,0.1013068
7,12,1,0.10707546,0.10605033
8,1,6,-0.00837357,-0.0011748
8,2,6,-0.0069073,-0.00217191
8,3,6,-0.01805234,-0.01901489
8,4,6,-0.01244081,-0.02374
8,5,6,0.00245344,0.00964578
8,6,6,-0.0019073,0.01043155
8,7,6,-0.03057699,-0.0354338
8,8,6,-0.03142777,-0.03406104
8,9,6,-0.0539014,-0.05894225
8,10,6,-0.05351878,-0.05613035
8,11,1,0.10793778,0.10500164
8,12,1,0.10671503,0.10559007
9,1,6,-0.01229473,-0.02071759
9,2,6,-0.00194409,0.00875163
9,3,6,-0.01235516,-0.00778872
9,4,6,-0.01396891,-0.01418232
9,5,6,-0.00752871,0.00532762
9,6,6,0.00306343,-0.0029293
9,7,6,-0.03314039,-0.03581317
9,8,6,-0.02582875,-0.02878227
9,9,6,-0.05579384,-0.05606465
9,10,6,-0.05134522,-0.05450003
9,11,1,0.10702908,0.1065349
9,12,1,0.10410733,0.1001639
10,1,6,-0.00861642,-0.00882798
10,2,6,-0.0028136,0.00071577
10,3,6,-0.00893532,-0.01650552
10,4,6,-0.01643099,-0.00997166
10,5,6,-0.00451907,0.00399492
10,6,6,0.00070613,0.00337035
10,7,6,-0.0278231,-0.03023937
10,8,6,-0.02948728,-0.03426713
10,9,6,-0.05877475,-0.05597729
10,10,6,-0.05115732,-0.05549598
10,11,1,0.10054298,0.09836527
10,12,1,0.10730878,0.10483861
11,1,6,-0.00760749,0.00593431
11,2,6,-0.01074066,-0.01431742
11,3,6,-0.01429383,-0.01879161
11,4,6,-0.01158436,-0.01079499
11,5,6,-0.00035797,0.00551225
11,6,6,-0.00418293,0.00514541
11,7,6,-0.02943325,-0.03223716
11,8,6,-0.03254924,-0.03436506
11,9,6,-0.05053936,-0.05776431
11,10,6,-0.04677147,-0.05271693
11,11,1,0.10454427,0.10185045
11,12,1,0.10351626,0.10254507
12,1,6,0.00669909,0.00431801
12,2,6,0.07723586,0.08699726
12,3,6,0.10808079,0.10923421
12,4,6,0.02168817,0.03026147
12,5,6,0.03683743,0.02052769
12,6,6,0.09478871,0.0930054
12,7,6,0.0869264,0.08796585
12,8,6,0.03956574,0.0433337
12,9,6,0.03742368,0.03825811
12,10,6,0.09170431,0.0840421
12,11,1,0.12547133,0.12446179
12,12,1,0.12452976,0.12284223
12,13,1,0.14904875,0.1547522
13,1,6,-0.00195687,-0.00735004
13,2,6,-0.01101671,-0.00157413
13,3,6,-0.01010205,-0.00702658
13,4,6,-0.00592494,-0.00775263
13,5,6,-0.00456953,-0.00194766
13,6,6,-0.00801766,-0.00937826
13,7,6,-0.02848774,-0.03024252
13,8,6,-0.03027969,-0.02650364
13,9,6,-0.05641948,-0.06197929
13,10,6,-0.05634379,-0.05612697
13,11,1,0.10841388,0.10625537
13,12,1,0.10470458,0.10362635
14,1,6,-0.00627195,0.00419892
14,2,6,-0.00952761,-0.01387612
14,3,6,-0.01095771,-0.01887283
14,4,6,-0.008208,-0.00490682
14,5,6,-0.00508237,-0.0026238
14,6,6,-0.00447582,0.00408621
14,7,6,-0.03158401,-0.02985461
14,8,6,-0.03212606,-0.03511144
14,9,6,-0.05484848,-0.05647911
14,10,6,-0.05043014,-0.05671043
14,11,1,0.10780585,0.10553259
14,12,1,0.10570626,0.10461744
15,1,6,-0.01691126,-0.02199624
15,2,6,-0.00700231,0.00811581
15,3,6,-0.01235928,-0.00099457
15,4,6,-0.01591751,-0.03034453
15,5,6,-0.01162725,-0.00385609
15,6,6,0.0040789,-0.00152781
15,7,6,-0.03297248,-0.03163889
15,8,6,-0.03131128,-0.02864757
15,9,6,-0.05305405,-0.05467409
15,10,6,-0.03227376,-0.03505184
15,11,1,0.10197884,0.10250558
15,12,1,0.1073714,0.09811025
16,1,6,-0.00689196,-0.00407602
16,2,6,-0.00885816,-0.01141924
16,3,6,-0.010427,-0.01039669
16,4,6,-0.01262992,-0.00543825
16,5,6,-0.00478055,0.00664958
16,6,6,-0.00230808,0.00264676
16,7,6,-0.02834005,-0.03349696
16,8,6,-0.02840518,-0.03262169
16,9,6,-0.05046279,-0.05536433
16,10,6,-0.05077918,-0.05737681
16,11,1,0.10224016,0.10017556
16,12,1,0.10164268,0.10071808
17,1,6,-0.00644111,-0.00564114
17,2,6,-0.00920567,-0.00813061
17,3,6,-0.0095303,-0.00620017
17,4,6,-0.00962632,-0.00432956
17,5,6,-0.00097296,-0.00091416
17,6,6,-0.006725,-0.00464347
17,7,6,-0.03009969,-0.02874494
17,8,6,-0.02959791,-0.02701377
17,9,6,-0.0463473,-0.05291919
17,10,6,-0.05861676,-0.06548956
17,11,1,0.104653,0.10251565
17,12,1,0.10251005,0.10151092
18,1,6,0.00796917,0.00780401
18,2,6,0.0810845,0.08306245
18,3,6,0.10626292,0.10498241
18,4,6,0.02061221,0.0260979
18,5,6,0.03876489,0.03356061
18,6,6,0.10032118,0.10616528
18,7,6,0.08149673,0.07926448
18,8,6,0.03709929,0.02524603
18,9,6,0.04040925,0.03760125
18,10,6,0.0974681,0.10200582
18,11,1,0.12265627,0.12262195
18,12,1,0.11154023,0.1120308
18,13,1,0.15431526,0.15955702
19,1,6,-0.01133735,-0.00652691
19,2,6,-0.00222598,-0.00876864
19,3,6,-0.00739416,-0.0013569
19,4,6,-0.01157002,-0.0097518
19,5,6,-0.00475506,-0.0006374
19,6,6,-0.00329736,-0.00214578
19,7,6,-0.02575789,-0.02691698
19,8,6,-0.02943132,-0.02774909
19,9,6,-0.0602756,-0.0642977
19,10,6,-0.05079967,-0.05469661
19,11,1,0.10086283,0.09876932
19,12,1,0.10598161,0.10407848
20,1,6,0.00995247,0.00894303
20,2,6,0.07780865,0.08419667
20,3,6,0.12169496,0.11926905
20,4,6,0.02634354,0.02972288
20,5,6,0.03643565,0.02833734
20,6,6,0.09707468,0.09631203
20,7,6,0.08772174,0.07555363
20,8,6,0.04222434,0.05087056
20,9,6,0.04518205,0.05733268
20,10,6,0.08627865,0.07439185
20,11,1,0.11210365,0.11178375
20,12,1,0.11126578,0.11362562
20,13,1,0.14591385,0.14966092
21,1,6,0.00751877,0.00703667
21,2,6,0.0877616,0.09382932
21,3,6,0.10997738,0.10987947
21,4,6,0.02326945,0.02485554
21,5,6,0.03648365,0.02835654
21,6,6,0.09557244,0.09909833
21,7,6,0.085796,0.08023492
21,8,6,0.03995993,0.03973223
21,9,6,0.04085345,0.04519984
21,10,6,0.09065014,0.08588303
21,11,1,0.1193728,0.11907551
21,12,1,0.11582801,0.11652327
21,13,1,0.14695642,0.15029533
22,1,6,0.00603641,0.00432124
22,2,6,0.07917658,0.09080908
22,3,6,0.11564324,0.11200277
22,4,6,0.02071576,0.02964069
22,5,6,0.03480221,0.02757887
22,6,6,0.0974515,0.09135127
22,7,6,0.09217944,0.08199138
22,8,6,0.03654415,0.0459719
22,9,6,0.03859601,0.04349638
22,10,6,0.09157569,0.0838991
22,11,1,0.11756839,0.1156383
22,12,1,0.12042173,0.11866612
22,13,1,0.14928883,0.15463291
23,1,6,-0.00594174,-0.0095426
23,2,6,-0.00704573,0.00032157
23,3,6,-0.00540209,-0.00834525
23,4,6,-0.01130921,-0.00951954
23,5,6,-0.00755731,-0.00384717
23,6,6,-0.00261235,0.00225458
23,7,6,-0.03117599,-0.02899719
23,8,6,-0.02998029,-0.03214132
23,9,6,-0.05255938,-0.05380586
23,10,6,-0.05591263,-0.06265706
23,11,1,0.10377637,0.10286593
23,12,1,0.10572038,0.10341392
24,1,6,0.00902789,0.00548503
24,2,6,0.08168419,0.08920815
24,3,6,0.12060314,0.11584132
24,4,6,0.02112915,0.02754165
24,5,6,0.03511973,0.02998639
24,6,6,0.09102498,0.09302863
24,7,6,0.08410757,0.07307025
24,8,6,0.0416082,0.04821051
24,9,6,0.04456041,0.05938325
24,10,6,0.08689007,0.07127841
24,11,1,0.11661328,0.11551866
24,12,1,0.11511664,0.11349196
24,13,1,0.15251473,0.15795579
25,1,6,-0.0007384,-0.00486014
25,2,6,-0.00938533,-0.01120373
25,3,6,-0.00974665,-0.00874173
25,4,6,-0.00461974,-0.00511753
25,5,6,-0.00741075,0.0000234
25,6,6,-0.00699909,-0.00550157
25,7,6,-0.02877988,-0.0319249
25,8,6,-0.03147987,-0.0282037
25,9,6,-0.05599576,-0.05638705
25,10,6,-0.05798328,-0.05658426
25,11,1,0.10533139,0.10285147
25,12,1,0.10780738,0.10564973
26,1,6,0.00781487,0.00754899
26,2,6,0.08158636,0.08729352
26,3,6,0.10601153,0.10132687
26,4,6,0.02471914,0.02387889
26,5,6,0.03621179,0.03558109
26,6,6,0.08999511,0.09303939
26,7,6,0.08593154,0.07281826
26,8,6,0.04194249,0.0533853
26,9,6,0.03926287,0.05489286
26,10,6,0.0883809,0.07146387
26,11,1,0.12600226,0.12532405
26,12,1,0.12821589,0.1271169
26,13,1,0.14392523,0.14633001
27,1,6,0.00997273,0.0086662
27,2,6,0.07227975,0.08136051
27,3,6,0.11230031,0.11066832
27,4,6,0.02535216,0.03093641
27,5,6,0.03531129,0.02394261
27,6,6,0.09745092,0.09285366
27,7,6,0.09423151,0.08852664
27,8,6,0.03958468,0.04896503
27,9,6,0.03988499,0.04253152
27,10,6,0.08874354,0.08573411
27,11,1,0.11611612,0.11474734
27,12,1,0.12215887,0.12035081
27,13,1,0.14661314,0.15071684
28,1,6,-0.00608569,-0.000092
28,2,6,-0.01041109,-0.01225491
28,3,6,-0.01134533,-0.0121275
28,4,6,-0.0106106,-0.01041591
28,5,6,-0.00351028,0.003919
28,6,6,-0.00240677,0.00967786
28,7,6,-0.02764479,-0.02975694
28,8,6,-0.03151454,-0.03220971
28,9,6,-0.05885523,-0.06760011
28,10,6,-0.05132596,-0.05943065
28,11,1,0.10413556,0.10240165
28,12,1,0.10957477,0.10788921
29,1,6,-0.01092682,-0.00651942
29,2,6,-0.00384694,-0.00440573
29,3,6,-0.00780938,-0.00320652
29,4,6,-0.00888358,-0.01597464
29,5,6,-0.00394424,0.00256373
29,6,6,-0.00478416,0.00110784
29,7,6,-0.02844953,-0.03084986
29,8,6,-0.03012218,-0.0266281
29,9,6,-0.05617264,-0.06026537
29,10,6,-0.05415685,-0.06230618
29,11,1,0.10318115,0.10198942
29,12,1,0.10591521,0.10449482
30,1,6,-0.00710306,-0.00257919
30,2,6,-0.00577534,0.00112095
30,3,6,-0.01299529,-0.02470666
30,4,6,-0.01470489,-0.02135161
30,5,6,-0.001724,0.01122146
30,6,6,0.00062154,0.01073998
30,7,6,-0.03155903,-0.03370844
30,8,6,-0.03003767,-0.03505392
30,9,6,-0.05083778,-0.05522088
30,10,6,-0.05673022,-0.05791243
30,11,1,0.10542907,0.10422167
30,12,1,0.10541662,0.10322907
31,1,6,-0.00358346,-0.00009169
31,2,6,-0.01215536,-0.01453743
31,3,6,-0.01307965,-0.00907579
31,4,6,-0.01265932,-0.00047216
31,5,6,-0.00004337,-0.00589225
31,6,6,-0.00500439,-0.00188581
31,7,6,-0.02734926,-0.02739711
31,8,6,-0.02823453,-0.0308518
31,9,6,-0.04897439,-0.0528701
31,10,6,-0.05836972,-0.06178525
31,11,1,0.10395199,0.10054919
31,12,1,0.10550141,0.10431021
32,1,6,-0.0063924,-0.00851458
32,2,6,-0.00328832,-0.00908193
32,3,6,-0.01145725,0.00008666
32,4,6,-0.00926295,-0.00933542
32,5,6,-0.00808707,-0.00411585
32,6,6,0.00191161,0.00174377
32,7,6,-0.02949583,-0.0287708
32,8,6,-0.02350511,-0.02361931
32,9,6,-0.05649675,-0.05522628
32,10,6,-0.06045389,-0.06559829
32,11,1,0.10523059,0.10426902
32,12,1,0.10129739,0.09816302
33,1,6,0.00553814,0.00231292
33,2,6,0.08329217,0.09484787
33,3,6,0.1216007,0.1158262
33,4,6,0.019919,0.02776576
33,5,6,0.03323036,0.02476686
33,6,6,0.09389681,0.09011202
33,7,6,0.09249009,0.08355248
33,8,6,0.03959071,0.04745863
33,9,6,0.04048918,0.0523668
33,10,6,0.08424467,0.07442353
33,11,1,0.1189282,0.11647786
33,12,1,0.11689392,0.11467743
33,13,1,0.14988607,0.15541163
34,1,6,0.00656603,0.00629362
34,2,6,0.07927424,0.08246113
34,3,6,0.09841021,0.10110067
34,4,6,0.02602714,0.02231932
34,5,6,0.0374885,0.02867731
34,6,6,0.09099609,0.10086059
34,7,6,0.08819436,0.08317467
34,8,6,0.04371386,0.04961958
34,9,6,0.04312876,0.04586658
34,10,6,0.08424282,0.07823394
34,11,1,0.13118182,0.13013478
34,12,1,0.11947411,0.11943524
34,13,1,0.15130205,0.15182255
35,1,6,0.00936766,0.00814662
35,2,6,0.07951243,0.08999912
35,3,6,0.11511642,0.11015476
35,4,6,0.02068398,0.03486666
35,5,6,0.03187258,0.02425121
35,6,6,0.1012672,0.0818272
35,7,6,0.09401237,0.09240031
35,8,6,0.03471499,0.0502988
35,9,6,0.03794078,0.03422728
35,10,6,0.08948768,0.08527946
35,11,1,0.11430789,0.11252952
35,12,1,0.12398665,0.12271702
35,13,1,0.14772938,0.15330203
36,1,6,0.00840963,0.01117581
36,2,6,0.08343433,0.0877291
36,3,6,0.09641975,0.09309038
36,4,6,0.02461561,0.02849508
36,5,6,0.0347037,0.02949346
36,6,6,0.08894166,0.0862016
36,7,6,0.09022642,0.08887644
36,8,6,0.04041685,0.04987942
36,9,6,0.0372884,0.0364912
36,10,6,0.09243346,0.08386554
36,11,1,0.1260642,0.12561307
36,12,1,0.13017049,0.12889571
36,13,1,0.14687549,0.1501932
37,1,6,0.00383345,0.00278778
37,2,6,0.07617513,0.08269985
37,3,6,0.11101265,0.10697171
37,4,6,0.0265479,0.03135162
37,5,6,0.03693751,0.02920457
37,6,6,0.0938567,0.09211253
37,7,6,0.09174738,0.08535785
37,8,6,0.03875783,0.0455844
37,9,6,0.03952675,0.03756117
37,10,6,0.09240006,0.09336104
37,11,1,0.12465819,0.12352081
37,12,1,0.11570238,0.11708539
37,13,1,0.14884412,0.15240128
38,1,6,-0.01004938,-0.01901506
38,2,6,-0.00565828,0.00118952
38,3,6,-0.00454437,0.00176196
38,4,6,-0.00900217,-0.01097329
38,5,6,-0.00755818,-0.00541221
38,6,6,-0.00517635,0.00643916
38,7,6,-0.03262647,-0.03212631
38,8,6,-0.02649411,-0.03136176
38,9,6,-0.05056121,-0.05133453
38,10,6,-0.05668011,-0.06481845
38,11,1,0.10530736,0.10384538
38,12,1,0.10304327,0.1018056
39,1,6,-0.00628385,-0.00795947
39,2,6,-0.00311394,0.00837103
39,3,6,-0.01191958,-0.01539824
39,4,6,-0.01426798,-0.01465153
39,5,6,-0.00249296,0.00788098
39,6,6,0.00157333,0.00279981
39,7,6,-0.02673408,-0.03225306
39,8,6,-0.02713576,-0.03105733
39,9,6,-0.06253976,-0.06461213
39,10,6,-0.05647432,-0.05753148
39,11,1,0.10259683,0.10042245
39,12,1,0.10679207,0.10398897
40,1,6,0.01364795,0.01406055
40,2,6,0.08133949,0.08849535
40,3,6,0.10261514,0.1009691
40,4,6,0.02376665,0.02876038
40,5,6,0.03477502,0.02363067
40,6,6,0.09118594,0.08929604
40,7,6,0.09280041,0.10076664
40,8,6,0.04279699,0.04752206
40,9,6,0.03829991,0.03114104
40,10,6,0.09338258,0.08625102
40,11,1,0.11987426,0.11993595
40,12,1,0.12035025,0.12026192
40,13,1,0.14516537,0.14890927
41,1,6,-0.00665257,0.00165331
41,2,6,-0.01214534,-0.0137326
41,3,6,-0.01103882,-0.01559975
41,4,6,-0.01209465,-0.01026596
41,5,6,-0.0021772,0.01201452
41,6,6,-0.00624313,0.00097859
41,7,6,-0.03105813,-0.03666606
41,8,6,-0.03045996,-0.03195832
41,9,6,-0.04713496,-0.05458096
41,10,6,-0.05375959,-0.06052783
41,11,1,0.10718124,0.10545441
41,12,1,0.10558309,0.10323064
42,1,6,-0.00426124,-0.0101627
42,2,6,-0.0127217,-0.00782482
42,3,6,-0.01108612,-0.00739205
42,4,6,-0.01103957,-0.00969663
42,5,6,-0.00412791,0.00312075
42,6,6,-0.00412924,-0.00676354
42,7,6,-0.03079117,-0.03138815
42,8,6,-0.03015794,-0.02671015
42,9,6,-0.04749961,-0.05127385
42,10,6,-0.0554743,-0.05866838
42,11,1,0.10547796,0.10371191
42,12,1,0.10581079,0.10304759
43,1,6,-0.00732307,0.00116271
43,2,6,-0.00767581,-0.00336454
43,3,6,-0.01318486,-0.0115392
43,4,6,-0.00995024,-0.01308954
43,5,6,-0.0024448,-0.00176553
43,6,6,-0.00355843,0.002921
43,7,6,-0.02606794,-0.02682313
43,8,6,-0.02995484,-0.02984406
43,9,6,-0.05728987,-0.06150075
43,10,6,-0.05190408,-0.05785019
43,11,1,0.10141139,0.09681847
43,12,1,0.10794258,0.10487476
44,1,6,0.00586973,0.00217942
44,2,6,0.08181687,0.08629524
44,3,6,0.10953096,0.103538
44,4,6,0.01891073,0.0238973
44,5,6,0.03329298,0.02739936
44,6,6,0.09251812,0.09639559
44,7,6,0.09055502,0.07997942
44,8,6,0.03950921,0.05249916
44,9,6,0.04217915,0.05607265
44,10,6,0.08161095,0.06536567
44,11,1,0.12942587,0.12812443
44,12,1,0.11991646,0.11900283
44,13,1,0.15486394,0.15925094
45,1,6,-0.00603126,-0.00896179
45,2,6,-0.0078935,-0.00378955
45,3,6,-0.00832457,-0.01129471
45,4,6,-0.01471686,-0.00418657
45,5,6,-0.00612506,-0.0001625
45,6,6,0.00148805,-0.00398402
45,7,6,-0.02981522,-0.02841635
45,8,6,-0.02694517,-0.02916872
45,9,6,-0.05279378,-0.05506609
45,10,6,-0.05788626,-0.06018842
45,11,1,0.10447612,0.10321309
45,12,1,0.10456748,0.10200563
46,1,6,0.01203169,0.00977564
46,2,6,0.0763656,0.08936209
46,3,6,0.10807667,0.10459493
46,4,6,0.02253315,0.03327763
46,5,6,0.03275633,0.02491815
46,6,6,0.09321121,0.08220411
46,7,6,0.09017691,0.08937149
46,8,6,0.03657548,0.05306422
46,9,6,0.04047681,0.03905749
46,10,6,0.094534,0.07953816
46,11,1,0.12058835,0.11926893
46,12,1,0.12640534,0.12467646
46,13,1,0.14626846,0.15089073
47,1,6,-0.00268204,-0.00336647
47,2,6,-0.01293686,-0.01539441
47,3,6,-0.01015235,-0.0142839
47,4,6,-0.0087147,0.00257195
47,5,6,-0.00582026,0.00613244
47,6,6,-0.00292052,0.0013842
47,7,6,-0.02442139,-0.02842485
47,8,6,-0.030849,-0.03072423
47,9,6,-0.05705922,-0.064032
47,10,6,-0.05327873,-0.0592829
47,11,1,0.10083948,0.09830523
47,12,1,0.10799557,0.10711495
48,1,6,-0.00641751,-0.00959664
48,2,6,-0.00929091,-0.0048894
48,3,6,-0.01151398,-0.01208456
48,4,6,-0.01090325,-0.01699081
48,5,6,-0.00560754,-0.00071183
48,6,6,0.00063593,-0.00194717
48,7,6,-0.03095229,-0.02578897
48,8,6,-0.03281839,-0.02613837
48,9,6,-0.05415171,-0.05515702
48,10,6,-0.04703449,-0.05047431
48,11,1,0.10500517,0.10266212
48,12,1,0.10304901,0.10111696
49,1,6,-0.00794573,-0.00622028
49,2,6,-0.00794742,-0.00622742
49,3,6,-0.01140049,-0.00964802
49,4,6,-0.01139818,-0.0096466
49,5,6,-0.00393385,0.00330789
49,6,6,-0.00393507,0.00330943
49,7,6,-0.03014795,-0.03384469
49,8,6,-0.03014806,-0.03384496
49,9,6,-0.05189034,-0.05743887
49,10,6,-0.05188591,-0.05743648
49,11,1,0.10531845,0.10384661
49,12,1,0.10531459,0.10384339
50,1,6,0.00568862,0.00378914
50,2,6,0.08133433,0.08875449
50,3,6,0.1097782,0.10782188
50,4,6,0.02400976,0.02653933
50,5,6,0.03478967,0.03000968
50,6,6,0.08799907,0.09306897
50,7,6,0.0875061,0.07322475
50,8,6,0.04118659,0.05048094
50,9,6,0.043236,0.05030774
50,10,6,0.08596805,0.07670521
50,11,1,0.12628296,0.12554763
50,12,1,0.11941903,0.11867182
50,13,1,0.15280166,0.15507841
51,1,6,-0.00752104,-0.00358024
51,2,6,-0.01043439,-0.01362375
51,3,6,-0.00889207,-0.00788747
51,4,6,-0.00568207,0.00154252
51,5,6,-0.00235273,0.00023208
51,6,6,-0.00783902,-0.00745748
51,7,6,-0.03115563,-0.03170792
51,8,6,-0.0284629,-0.02580328
51,9,6,-0.04690411,-0.05326687
51,10,6,-0.05721585,-0.0629167
51,11,1,0.10493719,0.10349335
51,12,1,0.10152267,0.10097577
52,1,6,0.00494762,0.00196568
52,2,6,0.07806811,0.08626032
52,3,6,0.11984285,0.11271489
52,4,6,0.02492522,0.02717508
52,5,6,0.03272823,0.03098926
52,6,6,0.09379237,0.09525974
52,7,6,0.08940466,0.07462979
52,8,6,0.03918276,0.05338141
52,9,6,0.04155942,0.06100503
52,10,6,0.08594381,0.06775938
52,11,1,0.11899306,0.11643843
52,12,1,0.12202143,0.12015705
52,13,1,0.14859047,0.15226394
53,1,6,-0.00907961,-0.01572637
53,2,6,-0.00269341,0.00364326
53,3,6,-0.00756858,0.00187336
53,4,6,-0.00882928,-0.01665277
53,5,6,-0.00826198,-0.00453182
53,6,6,-0.00148381,0.00255103
53,7,6,-0.03137661,-0.03327626
53,8,6,-0.02982845,-0.02982689
53,9,6,-0.05837984,-0.05942955
53,10,6,-0.05055248,-0.05529193
53,11,1,0.10271038,0.10208574
53,12,1,0.1053437,0.1045822
54,1,6,-0.01140452,-0.0123513
54,2,6,-0.00268662,0.01118319
54,3,6,-0.01600232,-0.02257151
54,4,6,-0.01492473,-0.02065573
54,5,6,-0.00227916,0.01539355
54,6,6,0.00040748,0.00165717
54,7,6,-0.03387686,-0.03868456
54,8,6,-0.0259893,-0.03030656
54,9,6,-0.04521014,-0.04711009
54,10,6,-0.05893578,-0.06069829
54,11,1,0.1062347,0.10236702
54,12,1,0.10466726,0.1017771
55,1,6,0.00650254,0.00419807
55,2,6,0.08092868,0.09107188
55,3,6,0.11249796,0.1083259
55,4,6,0.02215608,0.03216506
55,5,6,0.03247478,0.02526563
55,6,6,0.09773679,0.08913408
55,7,6,0.09181475,0.08541443
55,8,6,0.03663715,0.04620707
55,9,6,0.03861703,0.04318714
55,10,6,0.08922564,0.08175881
55,11,1,0.12546987,0.12249973
55,12,1,0.12188852,0.12200549
55,13,1,0.14405026,0.14876671
56,1,6,-0.01224949,-0.01357459
56,2,6,-0.00092401,-0.00228844
56,3,6,-0.00753537,-0.00192858
56,4,6,-0.01363057,0.00029868
56,5,6,-0.0048371,-0.009292
56,6,6,-0.00038507,-0.00839338
56,7,6,-0.03067437,-0.02583962
56,8,6,-0.02329013,-0.02528742
56,9,6,-0.05061776,-0.0526305
56,10,6,-0.06103673,-0.06139961
56,11,1,0.10489428,0.10362415
56,12,1,0.10028631,0.09671132
57,1,6,-0.0135459,-0.011588
57,2,6,-0.00388813,-0.00278174
57,3,6,-0.00840159,0.00245859
57,4,6,-0.0106764,-0.01518069
57,5,6,-0.00431053,-0.00387681
57,6,6,-0.00636787,0.00086363
57,7,6,-0.02726694,-0.02973496
57,8,6,-0.03005072,-0.02989759
57,9,6,-0.05183573,-0.0599807
57,10,6,-0.05435322,-0.05614428
57,11,1,0.1029826,0.09993586
57,12,1,0.10771445,0.1059267
58,1,6,0.00947438,0.0082928
58,2,6,0.08489634,0.09222532
58,3,6,0.10985617,0.10632676
58,4,6,0.01801174,0.02418098
58,5,6,0.03344171,0.02947998
58,6,6,0.0982304,0.09687344
58,7,6,0.08964511,0.08167186
58,8,6,0.04080935,0.0467353
58,9,6,0.04021924,0.05342908
58,10,6,0.08425879,0.06618454
58,11,1,0.11779868,0.11787345
58,12,1,0.12071469,0.11853295
58,13,1,0.1526434,0.15819355
59,1,6,-0.00532723,0.00826072
59,2,6,-0.00950218,-0.00934623
59,3,6,-0.01283654,-0.02721384
59,4,6,-0.0140484,-0.02154009
59,5,6,-0.0048459,0.0106179
59,6,6,0.00222759,0.01809029
59,7,6,-0.03080208,-0.03447444
59,8,6,-0.03377527,-0.04041946
59,9,6,-0.05419272,-0.05714372
59,10,6,-0.04571937,-0.05148762
59,11,1,0.10324567,0.1014109
59,12,1,0.10557638,0.10324558
60,1,6,0.00378816,0.00064278
60,2,6,0.08088141,0.09258586
60,3,6,0.11429364,0.10685865
60,4,6,0.02310459,0.03007022
60,5,6,0.03427144,0.02717268
60,6,6,0.09442695,0.08646157
60,7,6,0.09364092,0.08453922
60,8,6,0.03733369,0.05545701
60,9,6,0.04132778,0.04901434
